Watchman {瞭望员}
StopTracking {停止追踪}
Tracking {正在追踪}
TrackingStopped {已停止追踪。}
ContactLost {目标已丢失。}
NothingSpotted {未发现任何目标。}
QuestShipSpotted {发现任务船只：}
UnablePosition {无法确定我方位置。}
DirectionNorth {北}
DirectionNorthEast {东北}
DirectionEast {东}
DirectionSouthEast {东南}
DirectionSouth {南}
DirectionSouthWest {西南}
DirectionWest {西}
DirectionNorthWest {西北}
RangeNearby {附近}
RangeModerate {中等距离}
RangeDistant {远处}
NationSpanish {西班牙}
NationFrench {法国}
NationEnglish {英国}
NationDutch {荷兰}
NationPirate {海盗}
NationUnknown {未知}
BattleNationSpain {西班牙}
BattleNationFrance {法国}
BattleNationEngland {英国}
BattleNationHolland {荷兰}
BattleNationPirates {海盗}
Versus {对}
TypeMerchants {商船队}
TypeMerchantConvoy {商船护航队}
TypeTradeCaravan {贸易船队}
TypePatrol {巡逻舰队}
TypePirates {海盗舰队}
TypeNavalSquadron {海军分舰队}
TypePunitiveExpedition {讨伐舰队}
TypeFleet {舰队}
TypeBattle {交战}
TypeFlotsam {漂浮物}
TypeStrandedVessel {遇难船只}
